Nationality_of_the_cake	Date	Who	Cake	Job_group	Chocolate	Cheesecake	Berries	Gender	Temperature	Score	Participation	Alpha_2_code	Alpha_3_code	Numeric_code	Latitude_average	Longitude_average
Denmark	05-03-2025	Baker_7	Drømmekage (danish coffee cake)	PhD student	no	no	no	Male	10	7.9	11	DK	DNK	208	56	10
Germany	26-03-2025	Baker_10	Poppy seed cake	Student	no	no	no	Male	11	7.8	10	DE	DEU	276	51	9
Greece	21-05-2025	Baker_17	cheesecake	NBIS	no	yes	no	Male	17	9.41	11	GR	GRC	300	39	22
Italy	30-04-2025	Baker_14	Sourdough	PhD student	no	no	no	Female	18	9.2	5	IT	ITA	380	42.8333	12.8333
Italy	05-02-2025	Baker_3	Pistacchio cheesecake	TA	no	yes	no	Female	8	8.94	16	IT	ITA	380	42.8333	12.8333
Netherlands	14-05-2025	Baker_16	Dutch apple pie	Student	no	no	no	Male	17	9.13	11	NL	NLD	528	52.5	5.75
Sweden	22-01-2025	Baker_1	Cinnamon bun cake	TA	no	no	no	Male	3	8.41	17	SE	SWE	752	62	15
Sweden	29-01-2025	Baker_2	Kladdkaka 	NBIS	no	no	no	Male	5	6.93	7	SE	SWE	752	62	15
Sweden	02-04-2025	Baker_11	Sockerkaka	TA	yes	no	no	Female	17	7.44	12	SE	SWE	752	62	15
Sweden	12-03-2025	Baker_8	Lemon Cheesecake	TA	no	yes	no	Male	6	9.56	9	SE	SWE	752	62	15
Sweden	19-02-2025	Baker_5	semmelkladdkaka	PhD student	no	no	no	Female	5	8.73	13	SE	SWE	752	62	15
Sweden	07-05-2025	Baker_15	Silvia-kaka	Student	no	no	no	Female	14	9.21	7	SE	SWE	752	62	15
Sweden	16-04-2025	Baker_12	kladdkaka with pistacchio butter and fresh raspberries	PhD student	no	no	yes	Female	19	8.26	7	SE	SWE	752	62	15
Sweden	19-03-2025	Baker_9	Daim-tårta	TA	yes	no	no	Female	9	8.42	13	SE	SWE	752	62	15
Sweden	18-06-2025	Baker_19	cake w. strawberries?	TA	no	no	yes	Female	21	8.72	9	SE	SWE	752	62	15
Sweden	23-04-2025	Baker_13	Nutella Semifreddo	TA	no	no	yes	Female	14	9.28	8	SE	SWE	752	62	15
United States	26-02-2025	Baker_6	speckled brownie	TA	yes	no	no	Female	6	8.65	15	US	USA	840	38	-97
United States	12-02-2025	Baker_4	Zucchini cake	TA	no	no	no	Female	2	7.02	13	US	USA	840	38	-97
United States	04-06-2025	Baker_18	key lime pie	TA	no	no	no	Female	21	8.84	12	US	USA	840	38	-97
